"Time","vhx","vhy"
325,-4.11595620127356e-07,7.799208099892426e-07
326,-4.140672228407304e-07,7.80965669937122e-07
327,-4.164517309093793e-07,7.818982677835693e-07
328,-4.187473929804752e-07,7.82719763962063e-07
329,-4.209524738743628e-07,7.834312980030884e-07
330,-4.230652553579693e-07,7.840339844215931e-07
331,-4.250840369121153e-07,7.84528908663862e-07
332,-4.270071364922163e-07,7.849171231205038e-07
333,-4.288328912818744e-07,7.851996432119681e-07
334,-4.305596584388739e-07,7.853774435530224e-07
335,-4.321858158330911e-07,7.854514542023749e-07
336,-4.337097627758413e-07,7.854225570035146e-07
337,-4.351299207401831e-07,7.852915820227405e-07
338,-4.364447340717313e-07,7.850593040900826e-07
339,-4.376526706895001e-07,7.847264394487351e-07
340,-4.387522227763507e-07,7.842936425183778e-07
341,-4.397419074585846e-07,7.837615027776204e-07
342,-4.406202674742717e-07,7.831305417705492e-07
343,-4.413858718298745e-07,7.824012102422429e-07
344,-4.420373164447811e-07,7.815738854077778e-07
345,-4.425732247833335e-07,7.806488683591643e-07
346,-4.429922484739653e-07,7.79626381614341e-07
347,-4.432930679150906e-07,7.785065668121491e-07
348,-4.434743928673655e-07,7.772894825569874e-07
349,-4.435349630319756e-07,7.759751024165809e-07
350,-4.434735486146209e-07,7.745633130761039e-07
351,-4.432889508748655e-07,7.730539126515314e-07
352,-4.429800026605515e-07,7.714466091650233e-07
353,-4.425455689269808e-07,7.697410191846978e-07
354,-4.419845472405703e-07,7.679366666310432e-07
355,-4.412958682667376e-07,7.660329817518633e-07
356,-4.404784962417398e-07,7.640293002673937e-07
357,-4.395314294282535e-07,7.619248626870491e-07
358,-4.384537005544578e-07,7.597188137988772e-07
359,-4.37244377236418e-07,7.574102023326017e-07
360,-4.359025623835878e-07,7.549979807968452e-07
361,-4.344273945872459e-07,7.524810054908816e-07
362,-4.328180484917141e-07,7.498580366909391e-07
363,-4.310737351482153e-07,7.471277390108753e-07
364,-4.291937023512401e-07,7.442886819367779e-07
365,-4.27177234957322e-07,7.413393405347158e-07
366,-4.250236551861162e-07,7.382780963306665e-07
367,-4.227323229037088e-07,7.351032383614015e-07
368,-4.2030263588811e-07,7.318129643947614e-07
369,-4.177340300768593e-07,7.284053823176481e-07
370,-4.150259797967353e-07,7.248785116896594e-07
371,-4.121779979755545e-07,7.212302854601606e-07
372,-4.091896363360542e-07,7.174585518462922e-07
373,-4.060604855718951e-07,7.13561076369225e-07
374,-4.027901755058045e-07,7.095355440456611e-07
375,-3.993783752299169e-07,7.053795617314605e-07
376,-3.958247932283852e-07,7.010906606139805e-07
377,-3.921291774823411e-07,6.966662988495514e-07
378,-3.882913155572991e-07,6.921038643422395e-07
379,-3.843110346731192e-07,6.874006776599546e-07
380,-3.801882017566595e-07,6.825539950836596e-07
381,-3.759227234772556e-07,6.775610117853425e-07
382,-3.715145462652e-07,6.724188651301683e-07
383,-3.669636563133539e-07,6.671246380981227e-07
384,-3.622700795621201e-07,6.616753628202227e-07
385,-3.574338816679407e-07,6.560680242243173e-07
386,-3.524551679555509e-07,6.502995637852507e-07
387,-3.473340833542012e-07,6.443668833741058e-07
388,-3.420708123180753e-07,6.38266849201084e-07
389,-3.366655787311765e-07,6.319962958464621e-07
390,-3.311186457969046e-07,6.255520303739637e-07
391,-3.254303159126318e-07,6.189308365207888e-07
392,-3.196009305295163e-07,6.121294789584385e-07
393,-3.136308699978765e-07,6.051447076184126e-07
394,-3.075205533984089e-07,5.979732620767661e-07
395,-3.0127043835956e-07,5.906118759914663e-07
396,-2.948810208613665e-07,5.830572815864249e-07
397,-2.883528350260983e-07,5.753062141760399e-07
398,-2.81686452896026e-07,5.673554167240842e-07
399,-2.748824841986637e-07,5.592016444306648e-07
400,-2.679415760998255e-07,5.508416693410747e-07
401,-2.6086441294485e-07,5.422722849702865e-07
402,-2.53651715988358e-07,5.334903109368145e-07
403,-2.463042431128973e-07,5.244925975997994e-07
404,-2.388227885368568e-07,5.152760306930485e-07
405,-2.312081825119989e-07,5.058375359499232e-07
406,-2.234612910110169e-07,4.961740837129177e-07
407,-2.155830154054766e-07,4.862826935218638e-07
408,-2.075742921345221e-07,4.761604386747673e-07
409,-1.994360923647451e-07,4.658044507553143e-07
410,-1.911694216415913e-07,4.552119241211704e-07
411,-1.827753195326873e-07,4.443801203473221e-07
412,-1.742548592634926e-07,4.333063726187218e-07
413,-1.656091473456363e-07,4.219880900666973e-07
414,-1.568393231983497e-07,4.104227620435915e-07
415,-1.479465587633637e-07,3.986079623302927e-07
416,-1.389320581136657e-07,3.865413532714207e-07
417,-1.29797057056485e-07,3.74220689833011e-07
418,-1.205428227308899e-07,3.616438235777611e-07
419,-1.111706532003865e-07,3.488087065529712e-07
420,-1.016818770408618e-07,3.357133950865001e-07
421,-9.207785292427322e-08,3.22356053486222e-07
422,-8.235996919841159e-08,3.087349576385776e-07
423,-7.252964346313092e-08,2.948484985020182e-07
424,-6.258832214337461e-08,2.80695185491334e-07
425,-5.253748005935989e-08,2.662736497489713e-07
426,-4.237861999424806e-08,2.515826472996577e-07
427,-3.211327225965756e-08,2.366210620848765e-07
428,-2.174299425931449e-08,2.21387908873811e-07
429,-1.126937005119933e-08,2.058823360476954e-07
430,-6.940099084768027e-10,1.901036282546153e-07
431,9.981450120484984e-09,1.740512089320439e-07
432,2.075534865267933e-08,1.577246426945493e-07
433,3.162599941137421e-08,1.411236375843932e-07
434,4.259169166703211e-08,1.242480471828442e-07
435,5.365069067802599e-08,1.070978725803021e-07
436,6.480123813083749e-08,8.96732642035243e-08
437,7.604155257952876e-08,7.197452349842388e-08
438,8.736982988421163e-08,5.400210446712419e-08
439,9.878424364831267e-08,3.575661505820336e-08
440,1.102829456543822e-07,1.723881840921311e-08
441,1.218640662982685e-07,-1.55036605923477e-09
442,1.335257150214211e-07,-2.060986169825978e-08
443,1.452659807411689e-07,-3.993843383469234e-08
444,1.570829322787613e-07,-5.953468912430974e-08
445,1.689746187850291e-07,-7.939707505419857e-08
446,1.809390701634911e-07,-9.952387959394899e-08
447,1.929742974907678e-07,-1.199132309951325e-07
448,2.050782934341701e-07,-1.405630977384028e-07
449,2.172490326663188e-07,-1.614712886272513e-07
450,2.294844722767098e-07,-1.826354530274218e-07
451,2.417825521800926e-07,-2.040530812506333e-07
452,2.541411955216018e-07,-2.257215050812207e-07
453,2.66558309078533e-07,-2.476378984440651e-07
454,2.790317836587036e-07,-2.697992782119773e-07
455,2.915594944953473e-07,-2.922025051506451e-07
456,3.041393016384834e-07,-3.148442849989782e-07
457,3.167690503427167e-07,-3.377211696825592e-07
458,3.294465714514667e-07,-3.608295586578373e-07
459,3.421696817775737e-07,-3.841657003844261e-07
460,3.549361844803033e-07,-4.077256939228214e-07
461,3.677438694387376e-07,-4.31505490654672e-07
462,3.805905136215605e-07,-4.555008961226573e-07
463,3.934738814532731e-07,-4.797075719868121e-07
464,4.063917251768689e-07,-5.041210380941441e-07
465,4.193417852129843e-07,-5.287366746581689e-07
466,4.32321790515604e-07,-5.535497245449285e-07
467,4.453294589243678e-07,-5.785552956619836e-07
468,4.583624975135271e-07,-6.037483634467564e-07
469,4.714186029376558e-07,-6.291237734504705e-07
470,4.844954617741659e-07,-6.546762440139473e-07
471,4.975907508627322e-07,-6.804003690313985e-07
472,5.107021376417303e-07,-7.062906207982397e-07
473,5.238272804817441e-07,-7.323413529390179e-07
474,5.369638290163266e-07,-7.585468034113507e-07
475,5.501094244700513e-07,-7.8490109758184e-07
476,5.632616999840276e-07,-8.113982513698645e-07
477,5.764182809389655e-07,-8.380321744550183e-07
478,5.895767852759603e-07,-8.647966735441581e-07
479,6.027348238150937e-07,-8.916854556937294e-07
480,6.158900005720136e-07,-9.186921316833121e-07
481,6.290399130726201e-07,-9.458102194360799e-07
482,6.421821526660182e-07,-9.730331474820148e-07
483,6.553143048358786e-07,-1.000354258459717e-06
484,6.684339495103408e-07,-1.02776681265258e-06
485,6.815386613706518e-07,-1.055263991555242e-06
486,6.94626010158655e-07,-1.082838901466098e-06
487,7.076935609833079e-07,-1.110484577101926e-06
488,7.207388746263904e-07,-1.138193985230425e-06
489,7.337595078475375e-07,-1.165960028316751e-06
490,7.467530136887927e-07,-1.19377554818009e-06
491,7.597169417788054e-07,-1.221633329656347e-06
492,7.726488386368495e-07,-1.249526104263118e-06
493,7.855462479768237e-07,-1.27744655386321e-06
494,7.9840671101138e-07,-1.305387314322978e-06
495,8.112277667563371e-07,-1.33334097916187e-06
496,8.240069523355484e-07,-1.361300103189648e-06
497,8.367418032863413e-07,-1.389257206127835e-06
498,8.494298538657166e-07,-1.417204776212021e-06
499,8.620686373574305e-07,-1.445135273771735e-06
500,8.746556863800981e-07,-1.473041134784785e-06
501,8.871885331964788e-07,-1.50091477440288e-06
502,8.996647100240515e-07,-1.528748590445694e-06
503,9.120817493470388e-07,-1.556534966860406e-06
504,9.244371842299833e-07,-1.584266277144017e-06
505,9.367285486330183e-07,-1.611934887725834e-06
506,9.489533777289242e-07,-1.639533161307523e-06
507,9.611092082221201e-07,-1.667053460158389e-06
508,9.731935786696548e-07,-1.694488149363585e-06
509,9.852040298043332e-07,-1.721829600023057e-06
510,9.971381048600486e-07,-1.749070192399201e-06
511,1.008993349899432e-06,-1.776202319011324e-06
512,1.020767314143866e-06,-1.803218387675083e-06
513,1.032457550305997e-06,-1.830110824485292e-06
514,1.044061614924745e-06,-1.856872076740426e-06
515,1.055577068702932e-06,-1.883494615807578e-06
516,1.067001476847555e-06,-1.909970939926383e-06
517,1.078332409412753e-06,-1.936293576950945e-06
518,1.089567441645527e-06,-1.962455087028501e-06
519,1.100704154334227e-06,-1.988448065214117e-06
520,1.111740134159843e-06,-2.014265144020463e-06
521,1.122672974050124e-06,-2.039898995902058e-06
522,1.133500273536522e-06,-2.065342335673439e-06
523,1.144219639113975e-06,-2.090587922860812e-06
